Estiana
37
37
100 100 100 100 100 100 100 100 100 100 100     100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100     100 100 100 100 100 100 100 100 100
100 20 	20 	25 	30 	40 	40	40 	40 	40 	 20 	20 	25 	30 	40 	40	40 	40 	40 	20 	20 	25 	30 	40 	40	40 	40 	40 	 20 	20 	25 	30 	40 	40	40 	40 	40  100
100 20 	20 	25 	30 	40 	40 	40 	40 	40 	 20 	20 	25 	30 	40 	40 	40 	40 	40 	20 	20 	25 	30 	40 	40 	40 	40 	40 	 20 	20 	25 	30 	40 	40 	40 	40 	40  100
100 20 	25 	25 	30 	40 	40 	40 	40 	40 	 20 	25 	25 	30 	40 	40 	40 	40 	40 	20 	25 	25 	30 	40 	40 	40 	40 	40 	 20 	25 	25 	30 	40 	40 	40 	40 	40  100
100 25 	30 	25 	30 	40 	40 	40 	40 	40 	 25 	30 	25 	30 	40 	40 	40 	40 	40 	25 	30 	25 	30 	40 	40 	40 	40 	40 	 25 	30 	25 	30 	40 	40 	40 	40 	40  100
100 25 	30 	30 	30 	40 	40 	40 	40 	40 	 25 	30 	30 	30 	40 	40 	40 	40 	40 	25 	30 	30 	30 	40 	40 	40 	40 	40 	 25 	30 	30 	30 	40 	40 	40 	40 	40  100
100 40 	40 	40 	40 	40 	40 	40 	40 	40 	 40 	40 	40 	40 	40 	40 	40 	40 	40 	40 	40 	40 	40 	40 	40 	40 	40 	40 	 40 	40 	40 	40 	40 	40 	40 	40 	40  100
100 40 	40 	40 	40 	40 	40 	40 	40 	40 	 40 	40 	40 	40 	40 	40 	40 	40 	40 	40 	40 	40 	40 	40 	40 	40 	40 	40 	 40 	40 	40 	40 	40 	40 	40 	40 	40  100
100 40 	40 	40 	40 	40 	40 	40 	40 	40 	 40 	40 	40 	40 	40 	40 	40 	40 	40 	40 	40 	40 	40 	40 	40 	40 	40 	40 	 40 	40 	40 	40 	40 	40 	40 	40 	40  100
100 40 	40 	40 	40 	40 	40 	40 	40 	40 	 40 	40 	40 	40 	40 	40 	40 	40 	40 	40 	40 	40 	40 	40 	40 	40 	40 	40 	 40 	40 	40 	40 	40 	40 	40 	40 	40  100
100 20 	20 	25 	30 	40 	40	40 	40 	40 	 20 	20 	25 	30 	40 	40	40 	40 	40 	20 	20 	25 	30 	40 	40	40 	40 	40 	 20 	20 	25 	30 	40 	40	40 	40 	40  100
100 20 	20 	25 	30 	40 	40 	40 	40 	40 	 20 	20 	25 	30 	40 	40 	40 	40 	40 	20 	20 	25 	30 	40 	40 	40 	40 	40 	 20 	20 	25 	30 	40 	40 	40 	40 	40  100
100 20 	25 	25 	30 	40 	40 	40 	40 	40 	 20 	25 	25 	30 	40 	40 	40 	40 	40 	20 	25 	25 	30 	40 	40 	40 	40 	40 	 20 	25 	25 	30 	40 	40 	40 	40 	40  100
100 25 	30 	25 	30 	40 	40 	40 	40 	40 	 25 	30 	25 	30 	40 	40 	40 	40 	40 	25 	30 	25 	30 	40 	40 	40 	40 	40 	 25 	30 	25 	30 	40 	40 	40 	40 	40  100
100 25 	30 	30 	30 	40 	40 	40 	40 	40 	 25 	30 	30 	30 	40 	40 	40 	40 	40 	25 	30 	30 	30 	40 	40 	40 	40 	40 	 25 	30 	30 	30 	40 	40 	40 	40 	40  100
100 40 	40 	40 	40 	40 	40 	40 	40 	40 	 40 	40 	40 	40 	40 	40 	40 	40 	40 	40 	40 	40 	40 	40 	40 	40 	40 	40 	 40 	40 	40 	40 	40 	40 	40 	40 	40  100
100 40 	40 	40 	40 	40 	40 	40 	40 	40 	 40 	40 	40 	40 	40 	40 	40 	40 	40 	40 	40 	40 	40 	40 	40 	40 	40 	40 	 40 	40 	40 	40 	40 	40 	40 	40 	40  100
100 40 	40 	40 	40 	40 	40 	40 	40 	40 	 40 	40 	40 	40 	40 	40 	40 	40 	40 	40 	40 	40 	40 	40 	40 	40 	40 	40 	 40 	40 	40 	40 	40 	40 	40 	40 	40  100
100 40 	40 	40 	40 	40 	40 	40 	40 	40 	 40 	40 	40 	40 	40 	40 	40 	40 	40 	40 	40 	40 	40 	40 	40 	40 	40 	40 	 40 	40 	40 	40 	40 	40 	40 	40 	40  100
100 20 	20 	25 	30 	40 	40	40 	40 	40 	 20 	20 	25 	30 	40 	40	40 	40 	40 	20 	20 	25 	30 	40 	40	40 	40 	40 	 20 	20 	25 	30 	40 	40	40 	40 	40  100
100 20 	20 	25 	30 	40 	40 	40 	40 	40 	 20 	20 	25 	30 	40 	40 	40 	40 	40 	20 	20 	25 	30 	40 	40 	40 	40 	40 	 20 	20 	25 	30 	40 	40 	40 	40 	40  100
100 20 	25 	25 	30 	40 	40 	40 	40 	40 	 20 	25 	25 	30 	40 	40 	40 	40 	40 	20 	25 	25 	30 	40 	40 	40 	40 	40 	 20 	25 	25 	30 	40 	40 	40 	40 	40  100
100 25 	30 	25 	30 	40 	40 	40 	40 	40 	 25 	30 	25 	30 	40 	40 	40 	40 	40 	25 	30 	25 	30 	40 	40 	40 	40 	40 	 25 	30 	25 	30 	40 	40 	40 	40 	40  100
100 25 	30 	30 	30 	40 	40 	40 	40 	40 	 25 	30 	30 	30 	40 	40 	40 	40 	40 	25 	30 	30 	30 	40 	40 	40 	40 	40 	 25 	30 	30 	30 	40 	40 	40 	40 	40  100
100 40 	40 	40 	40 	40 	40 	40 	40 	40 	 40 	40 	40 	40 	40 	40 	40 	40 	40 	40 	40 	40 	40 	40 	40 	40 	40 	40 	 40 	40 	40 	40 	40 	40 	40 	40 	40  100
100 40 	40 	40 	40 	40 	40 	40 	40 	40 	 40 	40 	40 	40 	40 	40 	40 	40 	40 	40 	40 	40 	40 	40 	40 	40 	40 	40 	 40 	40 	40 	40 	40 	40 	40 	40 	40  100
100 40 	40 	40 	40 	40 	40 	40 	40 	40 	 40 	40 	40 	40 	40 	40 	40 	40 	40 	40 	40 	40 	40 	40 	40 	40 	40 	40 	 40 	40 	40 	40 	40 	40 	40 	40 	40  100
100 40 	40 	40 	40 	40 	40 	40 	40 	40 	 40 	40 	40 	40 	40 	40 	40 	40 	40 	40 	40 	40 	40 	40 	40 	40 	40 	40 	 40 	40 	40 	40 	40 	40 	40 	40 	40  100
100 20 	20 	25 	30 	40 	40	40 	40 	40 	 20 	20 	25 	30 	40 	40	40 	40 	40 	20 	20 	25 	30 	40 	40	40 	40 	40 	 20 	20 	25 	30 	40 	40	40 	40 	40  100
100 20 	20 	25 	30 	40 	40 	40 	40 	40 	 20 	20 	25 	30 	40 	40 	40 	40 	40 	20 	20 	25 	30 	40 	40 	40 	40 	40 	 20 	20 	25 	30 	40 	40 	40 	40 	40  100
100 20 	25 	25 	30 	40 	40 	40 	40 	40 	 20 	25 	25 	30 	40 	40 	40 	40 	40 	20 	25 	25 	30 	40 	40 	40 	40 	40 	 20 	25 	25 	30 	40 	40 	40 	40 	40  100
100 25 	30 	25 	30 	40 	40 	40 	40 	40 	 25 	30 	25 	30 	40 	40 	40 	40 	40 	25 	30 	25 	30 	40 	40 	40 	40 	40 	 25 	30 	25 	30 	40 	40 	40 	40 	40  100
100 25 	30 	30 	30 	40 	40 	40 	40 	40 	 25 	30 	30 	30 	40 	40 	40 	40 	40 	25 	30 	30 	30 	40 	40 	40 	40 	40 	 25 	30 	30 	30 	40 	40 	40 	40 	40  100
100 40 	40 	40 	40 	40 	40 	40 	40 	40 	 40 	40 	40 	40 	40 	40 	40 	40 	40 	40 	40 	40 	40 	40 	40 	40 	40 	40 	 40 	40 	40 	40 	40 	40 	40 	40 	40  100
100 40 	40 	40 	40 	40 	40 	40 	40 	40 	 40 	40 	40 	40 	40 	40 	40 	40 	40 	40 	40 	40 	40 	40 	40 	40 	40 	40 	 40 	40 	40 	40 	40 	40 	40 	40 	40  100
100 40 	40 	40 	40 	40 	40 	40 	40 	40 	 40 	40 	40 	40 	40 	40 	40 	40 	40 	40 	40 	40 	40 	40 	40 	40 	40 	40 	 40 	40 	40 	40 	40 	40 	40 	40 	40  100
100 40 	40 	40 	40 	40 	40 	40 	40 	40 	 40 	40 	40 	40 	40 	40 	40 	40 	40 	40 	40 	40 	40 	40 	40 	40 	40 	40 	 40 	40 	40 	40 	40 	40 	40 	40 	40  100
100 100 100 100 100 100 100 100 100 100 100     100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100     100 100 100 100 100 100 100 100 100
